size: 50000, g: 2, threads: 1, timeS: 0.00000, timeP: 0.00052, SpeedUp: 0.00, Eff: 0.00, trueg: 2
size: 50000, g: 2, threads: 2, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 2
size: 50000, g: 2, threads: 3, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 2
size: 50000, g: 2, threads: 4, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 2
size: 50000, g: 2, threads: 5, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 2
size: 50000, g: 2, threads: 6, timeS: 0.00000, timeP: 0.00052, SpeedUp: 0.00, Eff: 0.00, trueg: 2
size: 50000, g: 2, threads: 7, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 2
size: 50000, g: 2, threads: 8, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 2
size: 50000, g: 2, threads: 9, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 2
size: 50000, g: 2, threads: 10, timeS: 0.00000, timeP: 0.00052, SpeedUp: 0.00, Eff: 0.00, trueg: 2
size: 50000, g: 2, threads: 11, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 2
size: 50000, g: 2, threads: 12, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 2
size: 50000, g: 3, threads: 1, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 3
size: 50000, g: 3, threads: 2, timeS: 0.00000, timeP: 0.00052, SpeedUp: 0.00, Eff: 0.00, trueg: 3
size: 50000, g: 3, threads: 3, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 3
size: 50000, g: 3, threads: 4, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 3
size: 50000, g: 3, threads: 5, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 3
size: 50000, g: 3, threads: 6, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 3
size: 50000, g: 3, threads: 7, timeS: 0.00000, timeP: 0.00052, SpeedUp: 0.00, Eff: 0.00, trueg: 3
size: 50000, g: 3, threads: 8, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 3
size: 50000, g: 3, threads: 9, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 3
size: 50000, g: 3, threads: 10, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 3
size: 50000, g: 3, threads: 11, timeS: 0.00000, timeP: 0.00052, SpeedUp: 0.00, Eff: 0.00, trueg: 3
size: 50000, g: 3, threads: 12, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 3
size: 50000, g: 4, threads: 1, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 4
size: 50000, g: 4, threads: 2, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 4
size: 50000, g: 4, threads: 3, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 4
size: 50000, g: 4, threads: 4, timeS: 0.00000, timeP: 0.00053, SpeedUp: 0.00, Eff: 0.00, trueg: 4
size: 50000, g: 4, threads: 5, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 4
size: 50000, g: 4, threads: 6, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 4
size: 50000, g: 4, threads: 7, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 4
size: 50000, g: 4, threads: 8, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 4
size: 50000, g: 4, threads: 9, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 4
size: 50000, g: 4, threads: 10, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 4
size: 50000, g: 4, threads: 11, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 4
size: 50000, g: 4, threads: 12, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 4
size: 50000, g: 5, threads: 1, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 5
